array_element_name,H_CHIP_263_A,H_CHIP_263_B,H_CHIP_264_A,H_CHIP_264_B,H_CHIP_265_A,H_CHIP_265_B,H_CHIP_266_A,H_CHIP_266_B,H_CHIP_267_A,H_CHIP_267_B,H_CHIP_268_A,H_CHIP_268_B,H_CHIP_269_A,H_CHIP_269_B
AT2G42210,2761.9,2341.3,2618.3,2130.1,2568.0,2538.6,2688.9,2334.4,2913.2,2294.4,2580.2,2314.7,2559.5,2477.0
AT2G42200,483.2,449.1,411.2,369.7,580.2,492.2,541.9,638.2,590.9,604.4,581.7,741.4,853.9,770.4
AT2G33040,2309.2,2130.5,2265.3,2421.0,2319.2,2820.0,2325.9,2745.9,2106.4,2437.6,2116.1,2451.6,1974.5,2292.9
AT2G26740,131.4,126.3,382.4,495.2,1001.1,892.4,901.5,1283.5,348.3,603.8,414.9,463.6,498.9,562.1
AT2G26690,281.2,231.5,451.6,424.5,591.2,425.1,356.1,329.9,355.5,287.5,535.4,239.5,291.1,246.9
AT2G39700,565.5,488.8,592.8,565.6,687.1,755.7,664.5,704.0,821.4,834.3,1207.4,907.2,902.7,1023.0
AT2G41950,512.9,462.4,339.2,431.6,313.5,390.9,312.0,341.6,226.1,234.9,189.4,244.1,224.4,185.5
AT2G45640,790.2,1025.8,826.4,1055.3,827.0,1109.7,834.0,984.3,663.6,875.4,664.3,829.1,745.4,859.5
AT2G30570,2030.1,2394.5,2169.3,2546.0,2152.6,2969.9,2614.9,2281.0,2722.2,2593.3,2237.5,2038.8,2275.6,2368.0
AT2G30620,1567.6,1539.6,1495.9,1347.8,1306.7,1283.0,1468.0,1357.6,1320.6,1402.5,1402.7,1498.8,1674.5,1589.4
AT2G30490,932.6,716.7,1254.0,1057.7,1489.8,1236.6,1415.0,1175.6,915.9,858.4,874.3,689.0,983.4,881.0
AT2G02850,820.5,1088.8,650.1,887.0,563.4,971.1,838.3,846.4,570.3,682.2,425.3,613.7,530.2,539.2
AT2G02760,2082.0,1917.8,1552.5,1396.7,1643.9,1583.8,1746.6,1636.5,2611.6,2629.4,3168.8,2564.9,2630.5,2397.4
AT2G33850,277.9,565.4,265.8,503.2,297.6,410.9,349.7,389.1,786.5,673.3,350.9,696.4,643.1,730.6
AT2G33830,72.6,109.5,32.8,18.8,29.5,33.2,37.8,38.0,209.4,141.8,141.4,324.6,351.7,482.4
AT2G33800,1752.9,1562.4,1711.1,1428.7,1351.0,1461.6,1625.7,1264.0,1414.3,1435.0,1230.9,1306.4,1399.5,1538.4
AT2G26180,707.8,503.7,723.4,508.5,601.6,520.1,615.6,447.4,847.0,638.7,774.6,694.3,626.5,736.1
AT2G26330,2783.1,2269.6,2476.5,1925.5,2207.3,2170.7,2201.4,2096.5,3129.1,3545.9,3582.4,3789.0,3183.5,3922.6
267348_at,446.6,456.2,519.3,627.3,564.8,505.9,431.3,754.7,416.6,288.7,286.3,377.9,392.3,321.7
AT2G39900,916.9,679.7,484.4,440.8,495.9,511.4,498.9,467.7,894.9,714.7,918.2,781.5,882.8,731.1
AT2G40060,655.4,712.5,663.5,692.0,610.2,702.9,634.5,703.0,690.2,893.8,839.2,938.1,817.1,893.0
AT2G39990,1255.5,1416.7,1277.9,1462.6,1180.2,1339.0,1145.2,1396.1,1075.9,1198.1,1092.5,1287.7,1125.7,1188.9
AT2G39870,897.9,888.0,701.2,705.0,728.0,699.0,741.6,729.3,965.7,899.0,1237.6,1202.3,1014.7,974.6
AT2G34690,491.6,579.1,501.8,619.7,576.9,666.7,585.6,641.6,742.2,790.1,726.0,812.6,693.0,862.0
AT2G34680,843.2,732.9,839.3,715.6,827.8,714.2,861.3,688.0,989.4,849.3,1016.9,941.7,992.4,928.1
AT2G34700,364.6,428.3,298.8,308.1,152.4,206.3,102.5,112.6,63.2,83.3,78.0,123.6,74.0,62.3
AT2G30110,1409.7,1181.4,1326.6,1060.8,1290.1,1058.9,1309.6,1083.7,1209.1,1055.1,1200.5,1111.2,1255.8,981.2
AT2G23070,1369.6,975.0,1305.8,1097.0,1286.3,1126.2,1417.6,1128.6,1485.2,1017.3,990.1,1440.2,1331.1,984.6
AT2G23090,1129.6,1177.1,1102.8,1281.1,1259.8,1413.7,1238.0,1370.9,1534.6,1585.3,1579.5,1524.3,1554.1,1656.7
AT2G23120,2177.5,1973.5,1442.5,1422.4,1546.4,1786.0,1792.2,2123.8,2065.5,2403.4,1857.4,1817.4,1699.0,1983.0
AT2G02510,1112.6,805.1,1091.1,953.4,1080.9,1030.1,1019.3,973.6,1079.9,936.1,804.2,892.8,996.8,840.0
AT2G44100,1913.2,2179.8,2035.5,2003.8,2297.8,2125.8,2081.0,2365.1,2281.1,2070.2,2335.0,2347.5,2286.7,1908.2
AT2G44120,4542.5,4271.2,4689.5,4662.5,4163.6,4239.8,4128.2,4276.6,3803.4,3708.6,3463.9,4002.1,3717.7,3959.0
AT3G59970,667.6,692.3,923.9,719.5,1044.9,680.6,714.1,683.1,684.6,682.9,530.8,617.0,589.3,580.6
AT2G44050,1017.3,855.7,1221.1,996.5,1043.0,883.2,1018.3,918.4,990.1,759.8,737.3,772.6,857.1,779.8
AT2G30860,7546.9,6584.0,7380.1,6765.6,7893.9,8622.8,8432.3,9278.3,8310.8,8268.1,8546.2,8133.0,7937.4,8266.4
