AT1G70782;AT1G70780
AT2G40205;AT3G11120;AT3G56020;AT3G08520
AT3G44010;AT3G43980
AT1G09690;AT1G09590
AT1G75630;AT1G19910
AT2G37620;AT3G53750
AT3G62460;AT3G62530
AT2G45300;AT1G48860
AT1G08200;AT2G27860
AT1G54580;AT1G54630
AT1G52040;AT1G52030
AT1G19570;AT1G19550
AT5G19780;AT5G19770
AT5G11880;AT3G14390
AT1G29370;AT1G29350
AT1G07820;AT1G07660
AT3G45030;AT5G62300
AT1G58380;AT1G58684;AT1G59359;AT1G58983
AT3G26340;AT1G13060
AT1G70320;AT1G55860
AT1G17290;AT1G72330
AT5G62690;AT5G62700
AT1G07940;AT1G07930;AT5G60390;AT1G07920
AT3G61470;AT5G28450
AT3G08530;AT3G11130
AT3G16410;AT3G16390;AT3G16400
AT3G49120;AT3G49110
AT5G46430;AT4G18100
AT1G02930;AT1G02920
AT3G46320;AT3G45930
AT5G42020;AT5G28540
AT4G31480;AT4G31490
AT2G40590;AT2G40510
AT5G15960;AT5G15970
AT4G28510;AT2G20530
AT1G33140;AT1G33120
AT1G74060;AT1G74050
AT3G09680;AT5G02960
AT2G05070;AT2G05100
AT5G59970;AT5G59690
AT3G02230;AT5G15650
AT4G13930;AT4G13890
AT2G14720;AT2G14740
AT3G44300;AT3G44310
AT1G53780;AT1G53750
AT1G49140;AT3G18410
AT5G36710;AT5G36800
AT1G50480;AT2G12280;AT2G12200
AT4G09000;AT1G35160
AT1G07590;AT1G07600
AT2G47510;AT5G50950
AT5G20010;AT5G20020
AT2G04390;AT5G04800;AT2G05220
AT2G16930;AT5G15220
AT3G22330;AT3G22310
AT4G14716;AT4G14710
AT4G36130;AT2G18020
AT2G47110;AT3G62250
AT5G08670;AT5G08690
AT5G26000;AT5G25980
AT1G78850;AT1G78860
AT5G38940;AT5G38930
AT5G45775;AT4G18730
AT1G30230;AT2G18110
AT2G34430;AT2G34420
AT2G19520;AT4G29730
AT1G16890;AT1G78870
AT4G22870;AT4G22880
AT3G16430;AT3G16420
AT5G33320;AT1G43310
AT2G46290;AT2G46280
AT1G79920;AT1G79930
AT5G38430;AT5G38410;AT1G67090;AT5G38420
AT4G35100;AT2G16850
AT1G03220;AT1G03230
AT4G33270;AT4G33260
AT5G13430;AT5G13440
AT4G27560;AT4G27570
AT4G27960;AT5G53300
AT1G57660;AT1G57860
AT2G05840;AT5G35590
AT1G29910;AT1G29920;AT1G29930
AT1G25150;AT1G24881;AT1G24800;AT1G25055;AT1G25211
AT5G11170;AT5G11200
AT3G27850;AT3G27830
AT3G02468;AT3G02470
AT3G11940;AT2G37270
AT1G41880;AT3G55750
AT5G27140;AT5G27120
AT1G12920;AT3G26618
AT4G32210;AT5G09600
AT1G09640;AT1G57720
AT3G13290;AT3G13300
AT2G18162;AT2G18160
AT1G16700;AT1G79010
AT3G03780;AT5G17920
AT5G56010;AT5G56000
AT3G53870;AT2G31610
AT5G18380;AT2G09990
